"","modszer","nyers","magyarazott","nem_magyarazott","kulonbseg"
"1","A_R2","-0.119772931833042","-0.000411820769445015","-0.120322947478869","0.000961836415271478"
"2","A_R2","-0.113741959690804","0.0235245372880115","-0.140574868190388","0.00330837121157224"
"3","A_R1","-0.119772931833042","-0.0981274149315521","-0.0226073533167614","0.000961836415271478"
"4","A_R1","-0.113741959690804","-0.0907586097304254","-0.0262917211719511","0.00330837121157224"
"5","B_R2","-0.119772931833042","-0.0453736133301863","-0.0751069784742633","0.000707659971407537"
"6","B_R2","-0.113741959690804","-0.0272663351715696","-0.0891919830740786","0.00271635855484398"
"7","B_R1","-0.119772931833042","-0.0950748477350238","-0.0254057440694258","0.000707659971407537"
"8","B_R1","-0.113741959690804","-0.0858139132726539","-0.0306444049729944","0.00271635855484398"
"9","C_R2","-0.119772931833042","-0.040304173138562","-0.0798510613375374","0.000382302643057386"
"10","C_R2","-0.113741959690804","-0.0218562260715984","-0.0944026040864241","0.00251687046721827"
"11","C_R1","-0.119772931833042","-0.0960046905264775","-0.0241505439496219","0.000382302643057386"
"12","C_R1","-0.113741959690804","-0.0875971125869182","-0.0286617175711044","0.00251687046721827"
