"","modszer","nyers","magyarazott","nem_magyarazott","kulonbseg"
"1","A_R2","-0.112996394945991","-0.00113826181772048","-0.112032968966615","0.000174835838343768"
"2","A_R2","-0.114928081217057","0.020162168154723","-0.131476100289776","-0.0036141490820043"
"3","A_R1","-0.112996394945991","-0.0918514056870023","-0.0213198250973328","0.000174835838343768"
"4","A_R1","-0.114928081217057","-0.0852172410730141","-0.0260966910620386","-0.0036141490820043"
"5","B_R2","-0.112996394945991","-0.0366190008782787","-0.0767285927692605","0.000351198701547872"
"6","B_R2","-0.114928081217057","-0.0193302757487643","-0.0908795924483474","-0.00471821301994524"
"7","B_R1","-0.112996394945991","-0.0902766831505808","-0.0230709104969584","0.000351198701547872"
"8","B_R1","-0.114928081217057","-0.0825321435157438","-0.027677724681368","-0.00471821301994524"
"9","C_R2","-0.112996394945991","-0.0335474297820397","-0.079435975460191","-1.29897037606241e-05"
"10","C_R2","-0.114928081217057","-0.016919627798524","-0.0942672802157052","-0.00374117320282785"
"11","C_R1","-0.112996394945991","-0.0910581496605136","-0.0219252555817171","-1.29897037606241e-05"
"12","C_R1","-0.114928081217057","-0.085010806393143","-0.0261761016210862","-0.00374117320282785"
