"","modszer","nyers","magyarazott","nem_magyarazott","kulonbseg"
"1","A_R2","-0.113481216265583","0.0387213553287271","-0.15220257159389","-4.20996570937859e-13"
"2","A_R2","-0.12475686248705","0.0328997624251368","-0.153074385246468","-0.00458223966571936"
"3","A_R1","-0.113481216265583","-0.113481216265725","5.63105118089879e-13","-4.20996570937859e-13"
"4","A_R1","-0.12475686248705","-0.119399916826291","-0.000774705995040037","-0.00458223966571936"
"5","B_R2","-0.113481216265583","-0.0133942325205165","-0.100086983744641","-4.2632564145606e-13"
"6","B_R2","-0.12475686248705","-0.0185134673185825","-0.100850868024551","-0.00539252714391658"
"7","B_R1","-0.113481216265583","-0.113481216265741","5.84421400162682e-13","-4.2632564145606e-13"
"8","B_R1","-0.12475686248705","-0.118864893574544","-0.000499441768589293","-0.00539252714391658"
"9","C_R2","-0.113481216265583","-0.0115218288439731","-0.101959387421189","-4.20996570937859e-13"
"10","C_R2","-0.12475686248705","-0.017121752692022","-0.102971880322903","-0.00466322947212561"
"11","C_R1","-0.113481216265583","-0.113481216265727","5.6488147492928e-13","-4.20996570937859e-13"
"12","C_R1","-0.12475686248705","-0.119293058611628","-0.000800574403296395","-0.00466322947212561"
