"","modszer","nyers","magyarazott","nem_magyarazott","kulonbseg"
"1","A_R2","-0.103767466438951","0.0500733255481176","-0.153840791987101","3.19744231092045e-14"
"2","A_R2","-0.114723167482552","0.0463503094644508","-0.152971998639314","-0.00810147830768848"
"3","A_R1","-0.103767466438951","-0.103767466439082","9.9475983006414e-14","3.19744231092045e-14"
"4","A_R1","-0.114723167482552","-0.107625459435202","0.00100377026033804","-0.00810147830768848"
"5","B_R2","-0.103767466438951","-0.00701229188346808","-0.0967551745555149","3.19744231092045e-14"
"6","B_R2","-0.114723167482552","-0.0140655277338908","-0.0964554977470016","-0.00420214200165958"
"7","B_R1","-0.103767466438951","-0.103767466439093","1.10134124042816e-13","3.19744231092045e-14"
"8","B_R1","-0.114723167482552","-0.110581508795232","6.04833143391659e-05","-0.00420214200165958"
"9","C_R2","-0.103767466438951","-0.00204146318380793","-0.101726003255179","3.5527136788005e-14"
"10","C_R2","-0.114723167482552","-0.00667929846926008","-0.100431717651622","-0.00761215136166982"
"11","C_R1","-0.103767466438951","-0.103767466439082","9.59232693276135e-14","3.5527136788005e-14"
"12","C_R1","-0.114723167482552","-0.108017975802339","0.000906959681456598","-0.00761215136166982"
