"","modszer","nyers","magyarazott","nem_magyarazott","kulonbseg"
"1","A_R2","-0.120806206479635","0.0364441120337329","-0.157250318513983","6.14619466432487e-13"
"2","A_R2","-0.112916070494377","0.0428024117130725","-0.158516462827835","0.00279798062038594"
"3","A_R1","-0.120806206479635","-0.120806206479836","-4.13891143580258e-13","6.14619466432487e-13"
"4","A_R1","-0.112916070494377","-0.114917734231947","-0.000796316882816228","0.00279798062038594"
"5","B_R2","-0.120806206479635","-0.0173411325337227","-0.103465073946552","6.3948846218409e-13"
"6","B_R2","-0.112916070494377","-0.0100406279615388","-0.104962215008245","0.00208677247540656"
"7","B_R1","-0.120806206479635","-0.12080620647985","-4.2454928461666e-13","6.3948846218409e-13"
"8","B_R1","-0.112916070494377","-0.114044965262174","-0.000957877707609356","0.00208677247540656"
"9","C_R2","-0.120806206479635","-0.0147788199976251","-0.106027386482632","6.21724893790088e-13"
"10","C_R2","-0.112916070494377","-0.00819399441594193","-0.107092058520719","0.00236998244228381"
"11","C_R1","-0.120806206479635","-0.120806206479838","-4.19220214098459e-13","6.21724893790088e-13"
"12","C_R1","-0.112916070494377","-0.114769870789978","-0.000516182146682809","0.00236998244228381"
